transmission_number,time_of_transmission,tem_value,hum_value,energy_level,update_rate,accuracy
0,620,19.03,42.92,0.68,900,0.7483809523809524
1,1470,18.95,42.92,0.68,850,0.5465882352941176
2,2460,18.8,42.92,0.68,990,0.634959595959596
3,3590,18.67,42.91,0.68,1130,0.7231150442477876
4,4920,18.39,43.12,0.68,1330,0.8483834586466165
5,6120,18.22,43.34,0.68,1200,0.7666083333333333
6,7370,18.09,43.51,0.68,1250,0.794536
7,8720,17.96,43.79,0.68,1350,0.8472962962962963
8,10210,17.81,44.12,0.68,1490,0.9337651006711408
9,11770,17.7,44.37,0.68,1560,0.9510705128205128
10,13410,17.57,44.61,0.68,1640,0.9950487804878049
11,15110,17.44,44.85,0.68,1700,0.9966529411764704
12,16900,17.22,45.11,0.68,1790,1.0294134078212291
13,18660,17.06,45.31,0.68,1760,0.9793863636363636
14,20430,17.0,45.34,0.68,1770,0.9635706214689266
15,22180,16.86,45.69,0.68,1750,0.9164
16,23970,16.81,45.7,0.68,1790,0.9085251396648046
17,26010,21.18,37.41,0.68,2040,0.9943039215686276
18,28260,22.73,34.87,0.68,2250,1.0680755555555554
19,30740,24.68,32.8,0.68,2480,1.3360282258064515
20,33220,25.3,32.29,0.68,2480,1.5334959677419355
21,35520,24.66,32.9,0.68,2300,1.5717999999999999
22,37630,23.82,34.54,0.68,2110,1.676085308056872
23,39570,24.16,32.83,0.67,1940,1.557778350515464
24,41440,24.24,31.76,0.67,1870,1.578288770053476
25,43270,24.48,30.89,0.67,1830,1.5463497267759563
26,45040,24.77,30.52,0.67,1770,1.4819265536723163
27,46830,24.63,30.29,0.67,1790,1.5020558659217877
28,48610,24.63,29.86,0.67,1780,1.427567415730337
29,50330,24.55,29.4,0.67,1720,1.3773488372093023
30,51990,24.46,29.74,0.67,1660,1.2481867469879515
31,53830,24.29,29.84,0.67,1840,1.3798695652173911
32,55840,24.03,30.11,0.67,2010,1.4472437810945276
33,57890,23.65,31.01,0.67,2050,1.4600146341463414
34,59940,23.32,31.2,0.67,2050,1.418317073170732
35,62140,22.59,31.81,0.67,2200,1.4908227272727277
36,64400,22.14,31.93,0.67,2260,1.5105929203539823
37,66670,21.87,32.3,0.67,2270,1.518612334801762
38,69100,22.19,30.47,0.67,2430,1.637283950617284
39,71510,21.89,30.75,0.67,2410,1.6384771784232366
40,74040,21.58,30.57,0.67,2530,1.7148379446640316
41,76680,21.34,29.9,0.67,2640,1.804935606060606
42,79380,21.0,29.76,0.67,2700,1.8641925925925926
43,82050,20.7,29.67,0.67,2670,1.8639812734082397
44,84610,20.51,29.6,0.67,2560,1.7880703125000001
45,87140,20.37,29.41,0.67,2530,1.7782806324110674
46,89710,20.2,29.33,0.67,2570,1.8173346303501945
47,92320,19.87,29.49,0.67,2610,1.8489693486590038
48,94830,19.4,29.41,0.67,2510,1.7780756972111555
49,97180,19.07,29.45,0.67,2350,1.66931914893617
50,99500,18.83,29.54,0.67,2320,1.647633620689655
51,101750,18.58,30.0,0.67,2250,1.5852888888888885
52,103810,18.38,30.23,0.67,2060,1.446480582524272
53,105860,18.22,30.55,0.67,2050,1.4208536585365856
54,108030,18.23,30.86,0.67,2170,1.501336405529954
55,110170,18.18,31.51,0.66,2140,1.460700934579439
56,112270,22.16,27.16,0.66,2100,1.4218142857142857
57,114330,24.21,25.67,0.66,2060,1.3847038834951457
58,116240,25.17,25.31,0.66,1910,1.358109947643979
59,118090,26.5,24.3,0.66,1850,1.3349783783783782
60,119860,22.79,29.09,0.66,1770,1.4267966101694916
61,121430,23.11,28.67,0.66,1570,1.2938216560509552
62,122880,24.16,27.64,0.66,1450,1.2280206896551724
63,124240,24.47,27.62,0.66,1360,1.1757426470588237
64,125500,24.56,27.63,0.66,1260,1.0919126984126988
65,126520,24.1,28.35,0.66,1020,0.9036666666666667
66,127520,23.24,29.53,0.66,1000,0.89073
67,128500,22.5,30.54,0.66,980,0.8734285714285716
68,129410,22.32,31.04,0.66,910,0.8115824175824177
69,130380,22.17,31.67,0.66,970,0.8565876288659794
70,131430,22.55,31.59,0.66,1050,0.9252761904761905
71,132450,22.41,32.09,0.66,1020,0.8978431372549018
72,133430,22.47,32.23,0.66,980,0.8545918367346937
73,134450,22.5,32.71,0.66,1020,0.8788529411764705
74,135580,22.37,34.1,0.65,1130,0.9725221238938052
75,136630,22.12,34.96,0.65,1050,0.9047619047619048
76,137820,21.88,35.28,0.65,1190,0.9991260504201677
